relative_time_s,parcel_count,mean_downwind_m,median_downwind_m,p90_downwind_m,p95_downwind_m,maximum_downwind_m,minimum_downwind_m,upstream_mass_fraction
1.0030566623315735,2926,5.081500309376866,4.378591701818537,10.608160924813513,11.612776350191236,15.213709686262918,-1.3423914384440407,0.02802227438685849
2.0030566623315735,5874,10.93380718606677,9.074480656982074,22.546007615800367,24.777814557487225,29.893843357076797,-1.4727391436834067,0.014014228027381974
3.0030566623315735,8834,17.892833383274244,17.95994116985852,34.51604295630889,38.088704254527386,44.76312304013338,-1.4374425834739724,0.008726296400093543
4.0030566623315735,11777,24.659694737170412,25.34907863822358,46.987449389716346,51.47365235524201,59.77599015253198,-1.4571923876052,0.003857188946462628
5.0030566623315735,14732,32.359147563141406,31.69601539994575,59.576014432575015,65.13780559418325,74.91526532638852,-1.2919123699708912,0.003727946494497127
6.0030566623315735,17684,39.84033461643352,35.39747323620773,72.31908209091493,78.59857328635319,90.02597576013588,-1.4227009190001563,0.0055929852528335275
7.0030566623315735,20633,46.82446582917709,46.9106000585028,85.44266463832649,92.473440227346,105.20118356548048,-1.6095537501024721,0.0032080161103377244
7.993056662331583,23552,53.93775738855606,58.42924280103736,98.48740925772454,106.21028728108145,120.26826983549492,-1.506490564897411,0.002244656218707862
9.003056662331574,26521,61.267208363777385,65.14784722775542,112.10241269638118,120.16493050919718,135.45052012584884,-1.406240090564628,0.0019924553934612117
10.003056662331574,29449,68.55366240753804,69.12555817113012,125.86643114279002,134.07151007219304,150.45454324378716,-1.3938884447911883,0.001850749782853224
11.003056662331574,32402,76.0952413427066,72.53484567922132,140.0120152931097,148.09066261441527,165.6436559132493,-1.3905845547833686,0.0025107237091522468
12.003056662331574,35350,83.65943209304842,75.46512231405467,154.48750410150404,162.34660778404216,180.75679346947044,-1.4500171899006187,0.0017183445587128873
13.003056662331574,38294,91.33650464865836,84.10776334965588,168.99947217330117,176.56851689563172,195.7700656472034,-1.5667746652933157,0.0015693101201263676
13.993056662331583,41241,99.04925130622982,95.910367843859,183.57940900652073,190.88169145151952,210.78733154381092,-1.4222433891689703,0.001354818644240323
15.003056662331574,44192,106.67046436404617,104.72922634740209,198.10718095082353,205.1822408426125,225.9685745618221,-1.649046770960163,0.001789910733954581
15.993056662331583,47132,114.10983491331443,110.07601374642255,212.4041129195669,219.68480280279942,240.99396932579612,-1.4377953974463724,0.0011548557079609587
17.003056662331574,50101,121.59895929153446,119.32261239320458,226.8342304396851,234.31213577049812,256.09751252070413,-1.4648415858501438,0.0011792872808488375
18.003056662331574,53040,129.07139213274974,127.65770486427203,241.07639018640043,248.81280505628362,271.1825679759095,-1.3249144478920027,0.0012666292599764577
19.003056662331574,55982,136.6464852018043,137.02547939407597,255.5933106114575,263.4953555359689,286.3249139002839,-1.476623212004974,0.0013663121464021501
20.003056662331574,58926,144.2494147313535,144.32808951558675,270.266187452823,278.3701319959473,301.51543437702594,-1.4844850975839199,0.0009301979305158633
20.993056662331583,61868,151.8567111303826,148.79182203779803,284.8744134241217,293.25999635905225,316.64024215140194,-1.603694571436094,0.0009317724704957241
22.003056662331574,64828,159.49329676158396,154.38122237397877,299.5911896232909,308.3545450430872,331.98123388008355,-1.2632749344004526,0.0008265942281051812
23.003056662331574,67782,167.10817917448264,167.49508055587904,314.09949878505233,323.5326395196584,347.0918593382138,-1.3390827386200008,0.0010237606677536571
24.003056662331574,70735,174.65307235393075,177.72313301259544,328.48250508107435,338.75640386444945,362.26160759895,-1.5629804106033796,0.001027207783678648
25.003056662331574,73677,182.13114557992543,184.1485003064295,342.4359808583217,353.7116967274234,377.43236312800053,-1.1484350394242027,0.0007893716413203399
26.003056662331574,76630,189.7138907038395,191.12653188400503,355.71009304819717,368.8660622774297,392.55506023204543,-1.5817462257256212,0.0008507032885033287
26.993056662331583,79552,197.28926878814332,200.31920408531494,368.4457844761659,383.88629049678093,406.4946753973888,-1.3766262267789968,0.0007303826915270996
27.993056662331583,80901,200.85325262200945,200.3860659078541,374.98088314246934,395.7223265074174,406.24954797554005,-1.5913099802159794,0.0005969305371912566
29.003056662331574,78287,193.98451044838905,193.80816790746644,359.0905803032753,388.5270143561148,406.98502853653264,-1.3071421106738348,0.000845308132558775
29.993056662331583,78781,195.0586705460069,192.11246947170983,350.03415509770235,387.87212268593726,407.72508885225966,-1.5747042032408678,0.0005990182382561848
30.993056662331583,78159,192.89885757199463,193.24360837985256,351.6776710437056,370.1723745385067,408.8110859579282,-1.1224034186539336,0.0007002763774618679
31.993056662331583,79502,196.2383515577743,200.11253386363077,357.59448797942974,373.2275786375743,409.1355776904302,-1.5041779027928386,0.0006968591785697872
32.99305666233158,80793,199.56581411380694,198.96678056437642,364.0517115166575,384.5862927887571,409.0768880444775,-1.4130752210055941,0.0006542580682616658
33.99305666233158,82306,203.64459256100693,201.52991709801114,374.20681881913185,394.29138567076586,409.06082356445427,-1.2437818647385512,0.000635118615428572
35.00305666233157,80887,200.29094662100982,194.4816269821709,362.3749305121677,389.1239635838613,409.76461932925974,-1.5693500702922736,0.0009406390539739014
36.00305666233157,80402,199.11525525821375,192.08623686258449,361.357607713835,383.25490550809144,407.4873317508678,-1.3934846644914691,0.0006952845241748639
37.00305666233157,80503,199.39394910462963,199.30855289612293,367.54728038103406,377.70877171222116,408.35454419094816,-1.5433307999904093,0.0007413345898376572
38.00305666233157,81690,202.5922789544973,194.13778484229087,373.7186461827423,390.7797792461756,408.5502457036463,-1.2435432438012706,0.0006397445351136683
39.00305666233157,81363,202.24738948033658,201.8928959504885,374.4510484745375,393.0221072580122,407.9250233383147,-1.4349237793258884,0.000833994736220573
40.00305666233157,79481,197.4331544911919,198.50013982066346,366.01709030430425,385.6107991970289,405.2504805252231,-1.5722620679441948,0.0008382494824050603
40.99305666233158,79141,196.40714756769347,191.6979432171148,358.87603234749565,386.40779492198,406.28058625208047,-1.3415583642854239,0.0007324074086838076
42.00305666233157,78743,195.17471691887258,194.5177062189374,360.2380105474817,378.1015252687532,406.7868920208647,-1.3136674829443529,0.0008591640745484341
43.00305666233157,79666,197.49032534093092,199.87903724573783,364.70106754979145,382.06838632764845,407.28972162589616,-1.1437148826606847,0.000632070908524185
44.00305666233157,80257,199.1092086619238,205.44502480976675,363.840861478252,389.7242209481993,406.87933468873996,-1.6217809818897717,0.0009507988192300512
45.00305666233157,80039,198.5661154073549,203.29770839436162,360.83686517619685,384.9977448801132,408.36222168961854,-1.4522803574801706,0.0007158339035803356
45.99305666233158,80357,199.28080320112036,198.63506648815644,358.64232203665307,384.42793793455576,408.98428526436084,-1.4623864324822813,0.0006331796581473281
47.00305666233157,80764,200.43318129334733,204.68867977577634,359.52521828107984,384.3032263609038,407.8075519765514,-1.5761780944073864,0.0006173016593878574
47.99305666233158,80982,201.21803777713848,199.4716390391719,369.77988454774527,383.29262611643264,408.11139284257933,-1.2144459818900133,0.0005924798573383581
49.00305666233157,81603,203.14549423287647,191.49927428840948,363.4484644040287,388.0518331464955,407.4605118329329,-1.2969760909475514,0.0007351715665215057
49.99305666233158,81824,204.07864422723802,200.07120451397338,372.7344779830167,395.96309642546794,407.3121384423598,-1.3372164804880344,0.0008000847353902327
51.00305666233157,80304,200.3092660419021,200.24232820709454,369.3808461203738,387.87251857658566,406.32376864477703,-1.3177010785425374,0.0008899009222432267
52.00305666233157,80684,201.51602247549707,202.9878092212982,363.9811067997988,393.47501552377935,405.77510906734085,-1.267965775235231,0.0009052828930527656
53.00305666233157,79194,197.51813220430552,192.27776411801165,363.30181395927906,376.8260322240776,406.16829024451346,-1.3043915102980093,0.000727794527592412
53.99305666233158,79866,199.18178225349442,194.88317905194538,370.9805413941491,382.80992916284106,406.7063916824504,-1.3768841276305877,0.0008745913760298931
55.00305666233157,81100,202.4916890402696,199.7029691501653,381.5998764418913,394.37141642661015,407.85890535747956,-1.1900797715216676,0.0006600341922471998
55.99305666233158,79242,197.87637725328557,194.53487406691983,369.320681022463,393.8044752134289,408.00694935620794,-1.2435222104683474,0.0006797338443819992
57.00305666233157,77963,194.19533888043867,189.35050143618992,360.4372282976778,383.1405436958103,408.2128820254971,-1.423354406178729,0.0007979769005288697
58.00305666233157,78106,194.27674706998855,193.03367326487898,357.0147319194991,377.76007179186024,407.74499535627757,-1.1474916914213595,0.000775876320394705
58.99305666233158,79250,197.06974032501122,200.55352947218907,349.824606049399,390.5761017588674,408.4581920105233,-1.4828286593532618,0.000963751864140024
59.99305666233158,79853,198.61277782628045,202.57810419442671,352.7205662542658,385.4132442044017,409.2096658842768,-1.5333320248324087,0.0006648084746892052
