relative_time_s,parcel_count_remaining,injected_mass_kg,remaining_mass_kg,inferred_escaped_mass_kg,remaining_fraction,escaped_fraction
1.0030566623315735,2926,1.671761103885956e-08,1.6529546609786328e-08,1.880644290732301e-10,0.9887505201170144,0.01124947988298569
2.003056662331573,5874,3.3384277705526216e-08,3.3163229136467775e-08,2.2104856905844038e-10,0.9933786625246696,0.006621337475330474
3.003056662331573,8834,5.0050944372192886e-08,4.988641876235953e-08,1.6452560983335385e-10,0.9967128370523861,0.003287162947613839
4.0030566623315735,11777,6.671761103885955e-08,6.652835117239729e-08,1.8925986646225757e-10,0.9971632697347028,0.002836730265297172
5.0030566623315735,14732,8.338427770552623e-08,8.324301663702296e-08,1.4126106850326838e-10,0.9983059028345591,0.0016940971654408946
6.0030566623315735,17684,1.0005094437219289e-07,9.988198705597195e-08,1.6895731622094002e-10,0.9983112871419543,0.0016887128580457282
7.0030566623315735,20633,1.1671761103885955e-07,1.1656068041284405e-07,1.569306260154924e-10,0.9986554674601483,0.0013445325398516294
7.993056662331583,23552,1.332176110388597e-07,1.331063678298565e-07,1.1124320900318424e-10,0.9991649511792345,0.0008350488207654054
9.003056662331574,26521,1.500509443721929e-07,1.4987941658791346e-07,1.7152778427944057e-10,0.9988568696785142,0.001143130321485852
10.003056662331574,29449,1.6671761103885953e-07,1.6647671946818028e-07,2.4089157067924696e-10,0.9985550922354381,0.0014449077645618286
11.003056662331574,32402,1.8338427770552622e-07,1.831974158253722e-07,1.868618801540256e-10,0.9989810365289107,0.0010189634710892916
12.003056662331574,35350,2.000509443721929e-07,1.9989465957754162e-07,1.5628479465128109e-10,0.9992187750218239,0.0007812249781761325
13.003056662331574,38294,2.1671761103885953e-07,2.1652134617128202e-07,1.962648675775084e-10,0.9990943750873005,0.0009056249126994864
13.993056662331584,41241,2.332176110388597e-07,2.331396481075917e-07,7.796293126802159e-11,0.9996657073583735,0.000334292641626584
15.003056662331574,44192,2.5005094437219287e-07,2.498143830923044e-07,2.365612798884582e-10,0.9990539476646153,0.0009460523353846817
15.993056662331584,47132,2.6655094437219305e-07,2.664613445343053e-07,8.959983788776814e-11,0.9996638547347907,0.0003361452652092547
17.003056662331574,50101,2.833842777055262e-07,2.832078457994238e-07,1.7643190610239403e-10,0.9993774110986999,0.0006225889013000579
18.003056662331574,53040,3.0005094437219287e-07,2.998304871013886e-07,2.204572708042697e-10,0.99926526719899,0.0007347328010099758
