downwind_distance_m,bin_start_m,bin_end_m,parcel_count,crosswind_centroid_m,plume_rise_m,plume_centroid_height_m,sigma_crosswind_m,sigma_vertical_m,height_p10_m,height_p90_m
9.72077596174001,0.0,20.0,5162,-0.08342208360839565,-1.363436563257368,68.63656343674263,0.7970841333773766,1.083020848543129,-2.9825210571289062,0.048309326171875
30.760956200369527,20.0,40.0,3864,-1.1768414996479248,-1.1729727016187308,68.82702729838127,0.6624668389384762,0.65662752136301,-2.0501327514648438,-0.35420989990234375
51.905645035440116,40.0,60.0,3624,0.08044139780706194,-2.3285090391822334,67.67149096081776,0.7416012806286764,0.556867327810763,-3.1231842041015625,-1.7040176391601562
68.26735705802835,60.0,80.0,3838,0.37695130508868335,-3.043880259441768,66.95611974055824,0.7583767876259925,0.7439250983974715,-3.883819580078125,-1.8854293823242188
91.65438443584208,80.0,100.0,4105,1.7033987369730899,-1.1144329849168813,68.88556701508313,0.8579878436371969,0.6832713657221283,-1.6639862060546875,-0.5158462524414062
106.7896703585987,100.0,120.0,3816,0.20609544733547822,-1.6099651029852513,68.39003489701474,0.6635884409608874,0.8014446307720923,-2.6463851928710938,-0.569915771484375
130.02827914994648,120.0,140.0,5024,0.8260279361414082,-0.8919189045200022,69.10808109548,0.8761852796825756,0.9277913856498677,-2.0101852416992188,0.24123382568359375
150.52776625036813,140.0,160.0,3205,2.1694365401320534,-1.6030399413344643,68.39696005866554,0.7275988674319261,0.35588856176812605,-2.0903396606445312,-1.19769287109375
170.599746428337,160.0,180.0,2842,0.5284609870666563,-2.1272939264407533,67.87270607355924,0.8348770435956848,0.18824452412229797,-2.3133468627929688,-1.8851089477539062
190.70331795498586,180.0,200.0,3725,-0.4703805316224719,-2.371115864341092,67.62888413565891,0.3482467842399812,0.41407076255213165,-2.9486541748046875,-1.8401870727539062
210.0656484653532,200.0,220.0,4343,0.3740041087493279,-4.105543696497517,65.89445630350248,1.0729222668002063,0.5612216553774164,-4.764427185058594,-3.3413848876953125
228.6670518690636,220.0,240.0,5115,-0.742544078993383,-5.876535733420727,64.12346426657928,1.0749114962902613,0.8329037951054811,-7.017364501953125,-4.818885803222656
250.5159183325151,240.0,260.0,3400,1.1639171439336842,-7.208389304252698,62.7916106957473,0.9723583066241057,0.527387382330172,-8.029033660888672,-6.614898681640625
270.60837140800817,260.0,280.0,4187,4.816018719130963,-6.206838384920102,63.793161615079896,1.3132044156146796,0.47108461896103676,-6.750164031982422,-5.5153045654296875
290.03608886412565,280.0,300.0,3823,4.573918129503188,-3.1650469813206126,66.83495301867939,0.7366229811768737,1.009557708895671,-4.676971435546875,-1.9362869262695312
308.6149991753175,300.0,320.0,2823,2.8866468365658937,-1.8484474076754474,68.15155259232455,0.6894764236183103,0.5113894561916015,-2.3199234008789062,-1.1392974853515625
329.9702742864921,320.0,340.0,3914,3.3039953346639184,-2.459935276589975,67.54006472341003,0.502749169449716,0.34710997643872477,-2.8941116333007812,-2.0398483276367188
349.8454974551594,340.0,360.0,6868,6.761923514973696,-5.233489825233375,64.76651017476662,1.328244383201492,1.7258216357938956,-7.340625762939453,-2.6535720825195312
369.4561153496472,360.0,380.0,1610,7.132795233109475,-3.1169880013765416,66.88301199862346,0.732222363931543,1.419039928651611,-5.037933349609375,-1.24700927734375
390.05756528217916,380.0,400.0,1988,7.062452097066294,0.3730182453817086,70.37301824538172,0.7700708605770129,0.7357124090649565,-0.66082763671875,1.2765655517578125
406.23937884895224,400.0,420.0,2524,6.311631759076591,0.8275560367450515,70.82755603674505,0.6417916301903943,0.6588597839448279,-0.14595794677734375,1.5719070434570312
