relative_time_s,downstream_parcel_count,crosswind_centroid_m,plume_centroid_height_m,plume_rise_above_stack_m,sigma_crosswind_m,sigma_vertical_m,crosswind_p10_m,crosswind_p90_m,height_p10_relative_m,height_p90_relative_m
1.0030566623315735,2844,-0.17255632366765886,69.47410173753595,-0.5258982624640535,0.6713762239247048,0.5208015934743199,-0.9987542475285025,0.7813714248136874,-1.2009353637695312,0.0823974609375
2.0030566623315735,5792,-0.5379038881641066,68.71618938469416,-1.2838106153058415,0.7205789117921714,0.8625077093872132,-1.4510858727639748,0.38618670942940314,-2.3157882690429688,0.00153350830078125
3.0030566623315735,8757,-0.5735888137378691,68.31353272426028,-1.686467275739721,0.837530883014851,1.0141178642261537,-1.7924421147579892,0.42427309396706203,-2.8785171508789062,-0.0215911865234375
4.0030566623315735,11732,-0.7236555566457413,68.33982999278194,-1.6601700072180523,0.8131738346400487,1.1024718629932673,-1.8197892680550538,0.30140060686721437,-3.0384292602539062,0.02227783203125
5.0030566623315735,14677,-0.6393361813088719,68.41689725629364,-1.583102743706362,0.9161978405690759,1.0429930827686391,-1.8696147880092742,0.5332200945052685,-3.0203933715820312,-0.2967529296875
6.0030566623315735,17585,-0.39009359638804025,68.43151198834991,-1.568488011650089,0.9832212780023922,1.0253854314074409,-1.695768343582575,0.9402011438134608,-3.0001144409179688,-0.17743682861328125
7.0030566623315735,20567,-0.22330142772985304,68.33720702704409,-1.662792972955912,1.0002029020716143,0.9618435267423143,-1.5077708002066572,1.1667922010027167,-3.0139846801757812,-0.38823699951171875
7.993056662331583,23499,-0.05137168856449558,68.09965689544299,-1.900343104557014,0.9975360401657287,0.9950488243809043,-1.345290593110299,1.3071863190518638,-3.1881637573242188,-0.5236358642578125
9.003056662331574,26468,0.056476150476670504,67.88060566941103,-2.119394330588973,1.0434830151344567,1.1168427253698465,-1.2860476403137142,1.4641094990821166,-3.3952102661132812,-0.5853424072265625
10.003056662331574,29395,0.04528412667261131,67.85901329292506,-2.140986707074941,1.1295013440377883,1.2571448704375776,-1.4026778335551526,1.5865010909857489,-3.5504379272460938,-0.387420654296875
11.003056662331574,32321,0.18129424386740015,67.81399222623821,-2.1860077737617876,1.1866338597982837,1.2770379796349391,-1.4592815026061654,1.7296661533513005,-3.7129058837890625,-0.5572052001953125
12.003056662331574,35289,0.31791729248432965,67.63576301755899,-2.364236982441012,1.232159192251007,1.3250932807486806,-1.3973249003140342,1.9111334880901794,-3.9006881713867188,-0.5556716918945312
13.003056662331574,38234,0.5065820274369781,67.47401043573443,-2.5259895642655685,1.2709955478957777,1.424092405530397,-1.2901306291795578,2.11880359545664,-4.2002410888671875,-0.5506515502929688
13.993056662331583,41185,0.5227838830499215,67.38113177212396,-2.6188682278760376,1.3371040148905209,1.451941867000528,-1.3236468656147693,2.276389365574083,-4.3757171630859375,-0.6302642822265625
15.003056662331574,44113,0.5099384794938568,67.3498431012869,-2.6501568987131097,1.401540174482132,1.5137086461171023,-1.3373903558937172,2.4375991527700975,-4.535667419433594,-0.563995361328125
15.993056662331583,47078,0.5118932549539633,67.39822438278809,-2.601775617211909,1.4644757437816078,1.6162195512795359,-1.319807316291488,2.6315475317674384,-4.670799255371094,-0.3805084228515625
17.003056662331574,50042,0.5391495145366959,67.4287572739271,-2.5712427260729025,1.5015703208729887,1.6714385051695433,-1.2779928041633886,2.79484817233174,-4.7828521728515625,-0.5144577026367188
18.003056662331574,52973,0.5644214215392116,67.44223545155214,-2.5577645484478637,1.5339695759964327,1.730615833593659,-1.1769301804233283,2.961629413479045,-4.89776611328125,-0.43144989013671875
19.003056662331574,55906,0.6558385854978409,67.45230185182002,-2.5476981481799785,1.57131297127958,1.7876086411780363,-1.1779090470549445,3.112081964483991,-5.0055084228515625,-0.3150177001953125
20.003056662331574,58872,0.774136934845211,67.42287900581071,-2.577120994189286,1.596590923607742,1.8132416258164878,-1.0657602235630215,3.2563395344530903,-5.085182189941406,-0.258209228515625
20.993056662331583,61810,0.8234819181417055,67.40623973237813,-2.5937602676218683,1.6469968243149908,1.8490866247847444,-1.1278870409445476,3.407045095560747,-5.162841796875,-0.1688690185546875
22.003056662331574,64775,0.8585647878601684,67.37365201119546,-2.626347988804533,1.6918436339804896,1.8712657499874659,-1.1273332862244914,3.536603747958935,-5.236839294433594,-0.141143798828125
23.003056662331574,67713,0.8925645584511881,67.31104866643373,-2.6889513335662723,1.7399909330529106,1.8929556801213683,-1.1203685793199014,3.667460996537372,-5.3136749267578125,-0.10225677490234375
24.003056662331574,70662,0.9883520297274672,67.27559941336551,-2.724400586634494,1.7837731665834575,1.9556500300095654,-1.20211822410144,3.7979886373897216,-5.384849548339844,0.0433807373046875
25.003056662331574,73619,1.0660085628082054,67.27202278378525,-2.7279772162147524,1.8424389754673465,2.009542163976644,-1.2311840337916635,3.9340837619160283,-5.457099914550781,-0.00894927978515625
