distance_m,Tmax_Uref5,Tmax_Uref10,Tmax_Uref15
50,0.00045099298586137593,0.0002498322573956102,0.000172760002897121
100,0.00038305201451294124,0.00022250728216022253,0.0001565183192724362
200,0.00027886900352314115,0.00017537282838020474,0.00012710910232272
300,0.0002101680001942441,0.00014067690062802285,0.00010456659947521985
400,0.00015978500596247613,0.00011325839295750484,8.633113611722365e-05
500,0.00013249900075607002,9.784737630980089e-05,7.604906568303704e-05
